product,price,link
Intel Core i5‑12400F,"819,00 zł",https://www.x-kom.pl/p/702238-procesory-intel-core-i5-intel-core-i5-12400f.html
AMD Ryzen 5 5600,"709,00 zł",https://www.x-kom.pl/p/735703-procesor-amd-ryzen-5-amd-ryzen-5-5600.html
AMD Ryzen 5 5500,"479,00 zł",https://www.x-kom.pl/p/735696-procesor-amd-ryzen-5-amd-ryzen-5-5500.html
Intel Core i5‑13600KF,"1 559,00 zł",https://www.x-kom.pl/p/1075057-procesory-intel-core-i5-intel-core-i5-13600kf.html
AMD Ryzen 7 5700X,"939,00 zł",https://www.x-kom.pl/p/735718-procesor-amd-ryzen-7-amd-ryzen-7-5700x.html
AMD Ryzen 5 5600X,"869,00 zł",https://www.x-kom.pl/p/597427-procesor-amd-ryzen-5-amd-ryzen-5-5600x.html
Intel Core i3‑12100F,"499,00 zł",https://www.x-kom.pl/p/702244-procesor-intel-core-i3-intel-core-i3-12100f.html
AMD Ryzen 5 5600G,"629,00 zł",https://www.x-kom.pl/p/665219-procesor-amd-ryzen-5-amd-ryzen-5-5600g.html
AMD Ryzen 5 7600X,"1 349,00 zł",https://www.x-kom.pl/p/1072725-procesor-amd-ryzen-5-amd-ryzen-5-7600x.html
AMD Ryzen 7 5800X3D,"1 639,00 zł",https://www.x-kom.pl/p/735724-procesor-amd-ryzen-7-amd-ryzen-7-5800x3d.html
Intel Core i5‑11400F,"589,00 zł",https://www.x-kom.pl/p/636842-procesory-intel-core-i5-intel-core-i5-11400f.html
Intel Core i5‑13500,"1 299,00 zł",https://www.x-kom.pl/p/1101200-procesory-intel-core-i5-intel-core-i5-13500.html
Intel Core i5‑13400F,"1 099,00 zł",https://www.x-kom.pl/p/1101195-procesory-intel-core-i5-intel-core-i5-13400f.html
AMD Ryzen 7 5800X,"1 159,00 zł",https://www.x-kom.pl/p/597430-procesor-amd-ryzen-7-amd-ryzen-7-5800x.html
Intel Core i5‑11400,"639,00 zł",https://www.x-kom.pl/p/626748-procesory-intel-core-i5-intel-core-i5-11400.html
Intel Core i5‑12600KF,"1 239,00 zł",https://www.x-kom.pl/p/689638-procesory-intel-core-i5-intel-core-i5-12600kf.html
Intel Core i5‑13600K,"1 679,00 zł",https://www.x-kom.pl/p/1075053-procesory-intel-core-i5-intel-core-i5-13600k.html
AMD Ryzen 5 4500,"419,00 zł",https://www.x-kom.pl/p/735702-procesor-amd-ryzen-5-amd-ryzen-5-4500.html
Intel Core i5‑10400F,"499,00 zł",https://www.x-kom.pl/p/564465-procesory-intel-core-i5-intel-core-i5-10400f.html
Intel Core i7‑13700K,"2 249,00 zł",https://www.x-kom.pl/p/1073570-procesor-intel-core-i7-intel-core-i7-13700k.html
AMD Ryzen 5 3600,"459,00 zł",https://www.x-kom.pl/p/1048488-procesor-amd-ryzen-5-amd-ryzen-5-3600.html
Intel Core i7‑12700K,"1 699,00 zł",https://www.x-kom.pl/p/689603-procesor-intel-core-i7-intel-core-i7-12700k.html
Intel Core i9‑13900K,"3 099,00 zł",https://www.x-kom.pl/p/1075152-procesor-intel-core-i9-intel-core-i9-13900k.html
Intel Core i3‑10100F,"399,00 zł",https://www.x-kom.pl/p/596730-procesor-intel-core-i3-intel-core-i3-10100f.html
AMD Ryzen 7 5700G,"899,00 zł",https://www.x-kom.pl/p/665238-procesor-amd-ryzen-7-amd-ryzen-7-5700g.html
AMD Ryzen 9 7900X3D,"3 299,00 zł",https://www.x-kom.pl/p/1117009-procesor-amd-ryzen-9-amd-ryzen-9-7900x3d.html
AMD Ryzen 5 4600G,"469,00 zł",https://www.x-kom.pl/p/745026-procesor-amd-ryzen-5-amd-ryzen-5-4600g.html
Intel Core i7‑12700KF,"1 649,00 zł",https://www.x-kom.pl/p/689604-procesor-intel-core-i7-intel-core-i7-12700kf.html
AMD Ryzen 9 5900X,"1 699,00 zł",https://www.x-kom.pl/p/597431-procesor-amd-ryzen-9-amd-ryzen-9-5900x.html
Intel Core i5‑10400,"629,00 zł",https://www.x-kom.pl/p/564466-procesory-intel-core-i5-intel-core-i5-10400.html
Intel Core i3‑10100F OEM,"339,00 zł",https://www.x-kom.pl/p/1103978-procesor-intel-core-i3-intel-core-i3-10100f-oem.html
Intel Core i7‑13700KF,"2 129,00 zł",https://www.x-kom.pl/p/1073573-procesor-intel-core-i7-intel-core-i7-13700kf.html
AMD Ryzen 9 7950X,"2 999,00 zł",https://www.x-kom.pl/p/1072683-procesor-amd-ryzen-9-amd-ryzen-9-7950x.html
Intel Core i5‑12600K,"1 299,00 zł",https://www.x-kom.pl/p/689598-procesory-intel-core-i5-intel-core-i5-12600k.html
Intel Core i3‑13100F,"579,00 zł",https://www.x-kom.pl/p/1100878-procesor-intel-core-i3-intel-core-i3-13100f.html
Intel Core i5‑12400,"979,00 zł",https://www.x-kom.pl/p/702235-procesory-intel-core-i5-intel-core-i5-12400.html
AMD Ryzen 5 7600,"1 199,00 zł",https://www.x-kom.pl/p/1105320-procesor-amd-ryzen-5-amd-ryzen-5-7600.html
AMD Ryzen 7 7700X,"1 779,00 zł",https://www.x-kom.pl/p/1072717-procesor-amd-ryzen-7-amd-ryzen-7-7700x.html
Intel Core i3‑12100,"659,00 zł",https://www.x-kom.pl/p/702241-procesor-intel-core-i3-intel-core-i3-12100.html
Intel Core i9‑13900KS,"3 689,00 zł",https://www.x-kom.pl/p/1101211-procesor-intel-core-i9-intel-core-i9-13900ks.html
Intel Core i7‑13700F,"1 899,00 zł",https://www.x-kom.pl/p/1101205-procesor-intel-core-i7-intel-core-i7-13700f.html
AMD Ryzen 9 7900X,"2 269,00 zł",https://www.x-kom.pl/p/1072706-procesor-amd-ryzen-9-amd-ryzen-9-7900x.html
Intel Core i9‑11900KF,"1 699,00 zł",https://www.x-kom.pl/p/626768-procesor-intel-core-i9-intel-core-i9-11900kf.html
AMD Ryzen 9 5950X,"2 399,00 zł",https://www.x-kom.pl/p/597434-procesor-amd-ryzen-9-amd-ryzen-9-5950x.html
Intel Core i3‑10100,"639,00 zł",https://www.x-kom.pl/p/564470-procesor-intel-core-i3-intel-core-i3-10100.html
AMD Ryzen 7 7700,"1 729,00 zł",https://www.x-kom.pl/p/1105319-procesor-amd-ryzen-7-amd-ryzen-7-7700.html
Intel Core i5‑11600KF,"1 099,00 zł",https://www.x-kom.pl/p/626751-procesory-intel-core-i5-intel-core-i5-11600kf.html
Intel Core i5‑11600K,"1 149,00 zł",https://www.x-kom.pl/p/626721-procesory-intel-core-i5-intel-core-i5-11600k.html
AMD Ryzen 9 7900,"2 249,00 zł",https://www.x-kom.pl/p/1105317-procesor-amd-ryzen-9-amd-ryzen-9-7900.html
Intel Core i7‑10700K,"1 499,00 zł",https://www.x-kom.pl/p/564439-procesor-intel-core-i7-intel-core-i7-10700k.html
Intel Core i7‑13700,"2 069,00 zł",https://www.x-kom.pl/p/1101208-procesor-intel-core-i7-intel-core-i7-13700.html
Intel Core i5‑13400,"1 199,00 zł",https://www.x-kom.pl/p/1101198-procesory-intel-core-i5-intel-core-i5-13400.html
Intel Core i7‑12700,"1 779,00 zł",https://www.x-kom.pl/p/702225-procesor-intel-core-i7-intel-core-i7-12700.html
Intel Core i9‑12900KF,"2 199,00 zł",https://www.x-kom.pl/p/689633-procesor-intel-core-i9-intel-core-i9-12900kf.html
Intel Core i9‑12900K,"2 699,00 zł",https://www.x-kom.pl/p/689606-procesor-intel-core-i9-intel-core-i9-12900k.html
Intel Celeron G5905,"219,00 zł",https://www.x-kom.pl/p/628047-procesor-intel-celeron-intel-celeron-g5905.html
Intel Core i7‑11700K,"1 529,00 zł",https://www.x-kom.pl/p/626759-procesor-intel-core-i7-intel-core-i7-11700k.html
Intel Core i5‑10500,"1 099,00 zł",https://www.x-kom.pl/p/564464-procesory-intel-core-i5-intel-core-i5-10500.html
Intel Core i7‑10700F,"1 099,00 zł",https://www.x-kom.pl/p/564443-procesor-intel-core-i7-intel-core-i7-10700f.html
Intel Core i9‑10900KF,"1 849,00 zł",https://www.x-kom.pl/p/564430-procesor-intel-core-i9-intel-core-i9-10900kf.html
AMD Ryzen 3 3200G,"479,00 zł",https://www.x-kom.pl/p/500097-procesor-amd-ryzen-3-amd-ryzen-3-3200g.html
Intel Core i9‑13900,"3 039,00 zł",https://www.x-kom.pl/p/1101210-procesor-intel-core-i9-intel-core-i9-13900.html
Intel Core i9‑13900F,"2 799,00 zł",https://www.x-kom.pl/p/1101209-procesor-intel-core-i9-intel-core-i9-13900f.html
AMD Ryzen 3 4300G,"499,00 zł",https://www.x-kom.pl/p/1079412-procesor-amd-ryzen-3-amd-ryzen-3-4300g.html
AMD Ryzen 3 4100,"339,00 zł",https://www.x-kom.pl/p/735711-procesor-amd-ryzen-3-amd-ryzen-3-4100.html
Intel Core i9‑12900KS,"2 499,00 zł",https://www.x-kom.pl/p/724253-procesor-intel-core-i9-intel-core-i9-12900ks.html
Intel Core i5‑12500,"1 279,00 zł",https://www.x-kom.pl/p/702233-procesory-intel-core-i5-intel-core-i5-12500.html
Intel Core i5‑12600,"1 339,00 zł",https://www.x-kom.pl/p/702230-procesory-intel-core-i5-intel-core-i5-12600.html
Intel Core i7‑12700F,"1 699,00 zł",https://www.x-kom.pl/p/702227-procesor-intel-core-i7-intel-core-i7-12700f.html
Intel Core i3‑10105F,"399,00 zł",https://www.x-kom.pl/p/638664-procesor-intel-core-i3-intel-core-i3-10105f.html
Intel Core i3‑10105,"569,00 zł",https://www.x-kom.pl/p/638657-procesor-intel-core-i3-intel-core-i3-10105.html
Intel Core i9‑11900,"2 199,00 zł",https://www.x-kom.pl/p/626767-procesor-intel-core-i9-intel-core-i9-11900.html
Intel Core i7‑11700,"1 419,00 zł",https://www.x-kom.pl/p/626760-procesor-intel-core-i7-intel-core-i7-11700.html
Intel Pentium Gold G6400,"359,00 zł",https://www.x-kom.pl/p/577820-procesor-intel-pentium-intel-pentium-gold-g6400.html
Intel Core i5‑10600K,"1 199,00 zł",https://www.x-kom.pl/p/564455-procesory-intel-core-i5-intel-core-i5-10600k.html
Intel Core i3‑13100,"749,00 zł",https://www.x-kom.pl/p/1101181-procesor-intel-core-i3-intel-core-i3-13100.html
Intel Core i9‑13900KF,"2 999,00 zł",https://www.x-kom.pl/p/1073569-procesor-intel-core-i9-intel-core-i9-13900kf.html
Intel Core i9‑12900F,"2 499,00 zł",https://www.x-kom.pl/p/702223-procesor-intel-core-i9-intel-core-i9-12900f.html
Intel Core i9‑12900,"2 799,00 zł",https://www.x-kom.pl/p/702219-procesor-intel-core-i9-intel-core-i9-12900.html
Intel Core i9‑11900F,"1 899,00 zł",https://www.x-kom.pl/p/626769-procesor-intel-core-i9-intel-core-i9-11900f.html
Intel Core i9‑11900K,"1 799,00 zł",https://www.x-kom.pl/p/626765-procesor-intel-core-i9-intel-core-i9-11900k.html
Intel Core i7‑11700F,"1 329,00 zł",https://www.x-kom.pl/p/626763-procesor-intel-core-i7-intel-core-i7-11700f.html
Intel Core i7‑11700KF,"1 499,00 zł",https://www.x-kom.pl/p/626762-procesor-intel-core-i7-intel-core-i7-11700kf.html
Intel Core i5‑11500,"1 149,00 zł",https://www.x-kom.pl/p/626744-procesory-intel-core-i5-intel-core-i5-11500.html
Intel Core i5‑11600,"1 399,00 zł",https://www.x-kom.pl/p/626733-procesory-intel-core-i5-intel-core-i5-11600.html
Intel Core i5‑10600,"1 199,00 zł",https://www.x-kom.pl/p/564461-procesory-intel-core-i5-intel-core-i5-10600.html
Intel Core i5‑10600KF,"949,00 zł",https://www.x-kom.pl/p/564447-procesory-intel-core-i5-intel-core-i5-10600kf.html
Intel Core i7‑10700KF,"1 539,00 zł",https://www.x-kom.pl/p/564438-procesor-intel-core-i7-intel-core-i7-10700kf.html
Intel Core i9‑10900F,"1 999,00 zł",https://www.x-kom.pl/p/564434-procesor-intel-core-i9-intel-core-i9-10900f.html
